Date,Crop,State,District,Market,Modal_Price,Min_Price,Max_Price,Arrivals,Unit
2023-09-10,Coffee,Tamil Nadu,Coimbatore,Coimbatore Wholesale,20171.0,16542.0,22620.0,1488.0,INR/Quintal
2024-08-08,Coconut,Tamil Nadu,Coimbatore,Coimbatore Wholesale,1881.0,1543.0,2109.0,3990.0,INR/Quintal
2017-05-10,Cotton,Gujarat,Vadodara,Vadodara Wholesale,6415.0,5261.0,7194.0,6764.0,INR/Quintal
2018-07-18,Pulses,Madhya Pradesh,Bhopal,Bhopal Wholesale,4235.0,3473.0,4749.0,1318.0,INR/Quintal
2018-02-04,Wheat,Rajasthan,Udaipur,Udaipur Wholesale,1645.0,1349.0,1845.0,1838.0,INR/Quintal
2017-12-31,Potato,Punjab,Patiala,Patiala Wholesale,1537.0,1260.0,1724.0,4796.0,INR/Quintal
2025-04-30,Pulses,Maharashtra,Nagpur,Nagpur Wholesale,4342.0,3561.0,4869.0,4351.0,INR/Quintal
2023-06-20,Tea,Kerala,Ernakulam,Ernakulam Wholesale,12938.0,10610.0,14509.0,1167.0,INR/Quintal
2019-06-27,Sugarcane,Karnataka,Belgaum,Belgaum Wholesale,492.0,403.0,552.0,3819.0,INR/Quintal
2020-12-09,Coconut,Andhra Pradesh,Guntur,Guntur Wholesale,3379.0,2771.0,3789.0,2404.0,INR/Quintal
2016-04-11,Wheat,Madhya Pradesh,Bhopal,Bhopal Wholesale,1788.0,1466.0,2005.0,3469.0,INR/Quintal
2018-05-23,Pulses,Uttar Pradesh,Kanpur,Kanpur Wholesale,5916.0,4852.0,6634.0,3841.0,INR/Quintal
2015-11-27,Oilseeds,Rajasthan,Jodhpur,Jodhpur Wholesale,3061.0,2510.0,3433.0,2172.0,INR/Quintal
2019-01-22,Maize,Telangana,Nizamabad,Nizamabad Wholesale,2353.0,1930.0,2639.0,3628.0,INR/Quintal
2020-11-05,Tea,Kerala,Ernakulam,Ernakulam Wholesale,13326.0,10928.0,14944.0,1897.0,INR/Quintal
2024-06-06,Oilseeds,Gujarat,Ahmedabad,Ahmedabad Wholesale,2822.0,2314.0,3165.0,4406.0,INR/Quintal
2023-09-07,Wheat,Uttar Pradesh,Varanasi,Varanasi Wholesale,2365.0,1939.0,2652.0,2703.0,INR/Quintal
2022-12-29,Apple,Jammu and Kashmir,Srinagar,Srinagar Wholesale,5671.0,4651.0,6359.0,409.0,INR/Quintal
2025-03-24,Maize,Madhya Pradesh,Bhopal,Bhopal Wholesale,2581.0,2117.0,2894.0,1372.0,INR/Quintal
2015-05-11,Tea,Assam,Kamrup,Kamrup Wholesale,9103.0,7465.0,10208.0,1478.0,INR/Quintal
2019-08-13,Sugarcane,Maharashtra,Nashik,Nashik Wholesale,451.0,370.0,506.0,755.0,INR/Quintal
2024-04-03,Wheat,Madhya Pradesh,Bhopal,Bhopal Wholesale,2670.0,2190.0,2994.0,3730.0,INR/Quintal
2017-02-08,Tea,Assam,Dibrugarh,Dibrugarh Wholesale,15642.0,12828.0,17541.0,2170.0,INR/Quintal
2021-07-19,Pulses,Uttar Pradesh,Kanpur,Kanpur Wholesale,6860.0,5626.0,7693.0,1174.0,INR/Quintal
2019-02-24,Tea,West Bengal,Kolkata,Kolkata Wholesale,12468.0,10225.0,13982.0,5806.0,INR/Quintal
2024-07-17,Wheat,Haryana,Faridabad,Faridabad Wholesale,2824.0,2316.0,3167.0,4256.0,INR/Quintal
2022-10-24,Coconut,Tamil Nadu,Coimbatore,Coimbatore Wholesale,3217.0,2638.0,3608.0,2064.0,INR/Quintal
2021-08-30,Coffee,Tamil Nadu,Coimbatore,Coimbatore Wholesale,21060.0,17271.0,23617.0,1314.0,INR/Quintal
2018-04-30,Coconut,Andhra Pradesh,Krishna,Krishna Wholesale,1239.0,1016.0,1389.0,1788.0,INR/Quintal
2017-08-13,Pulses,Madhya Pradesh,Bhopal,Bhopal Wholesale,4141.0,3396.0,4644.0,1518.0,INR/Quintal
