Date,State,District,Soil_Type,pH,EC,N,P,K,OC
10-09-2023,Jharkhand,Ranchi,Loamy,7,1.47,227,22,217,0.85
08-08-2024,Kerala,Ernakulam,Laterite,6.7,0.82,127,18,157,0.91
10-05-2017,Bihar,Gaya,Alluvial,6.7,0.47,280,30,253,1.32
18-07-2018,Dadra and Nagar Haveli and Daman and Diu,Daman,Loamy,7,1.32,178,39,200,0.99
04-02-2018,Nagaland,Kohima,Loamy,7.5,0.85,255,38,360,1.22
31-12-2017,Meghalaya,Shillong,Loamy,6,0.55,205,15,223,1.24
30-04-2025,Ladakh,Leh,Sandy Loam,7.2,0.46,122,24,125,0.85
20-06-2023,Tripura,Agartala,Loamy,5.3,0.78,254,21,246,0.78
27-06-2019,Tamil Nadu,Chennai,Red,5.8,0.68,117,14,220,0.55
09-12-2020,Kerala,Thrissur,Laterite,5,0.02,131,18,75,0.59
11-04-2016,Puducherry,Puducherry,Loamy,6.9,0.51,218,24,302,1.19
23-05-2018,Ladakh,Leh,Sandy Loam,6.6,0.18,133,17,100,0.75
27-11-2015,Assam,Cachar,Alluvial,7.2,0.69,221,26,220,1.32
22-01-2019,Himachal Pradesh,Kangra,Sandy Loam,6.9,0.09,72,23,173,0.59
05-11-2020,Nagaland,Kohima,Loamy,7.6,1.48,145,36,318,1.3
06-06-2024,Jammu and Kashmir,Srinagar,Loamy,7.5,1.21,206,42,265,1
07-09-2023,Puducherry,Puducherry,Loamy,7.8,1.02,135,42,303,1.33
29-12-2022,Maharashtra,Nagpur,Red,5.4,0.16,135,10,131,0.44
24-03-2025,Bihar,Patna,Alluvial,7.1,0.04,213,45,329,1.2
11-05-2015,Andaman and Nicobar Islands,Port Blair,Loamy,6.8,0.71,260,34,340,1.02
13-08-2019,Manipur,Imphal,Loamy,6.9,1,129,28,356,0.87
03-04-2024,West Bengal,Darjeeling,Red,6.4,0.35,183,20,191,0.89
08-02-2017,Meghalaya,Shillong,Loamy,7.3,0.76,277,17,207,0.98
19-07-2021,Kerala,Kozhikode,Laterite,6.3,1.28,95,28,133,0.79
24-02-2019,Chhattisgarh,Raipur,Loamy,6.3,0.6,242,22,227,1.2
17-07-2024,Puducherry,Puducherry,Loamy,4.7,0.94,109,18,277,0.61
24-10-2022,Andhra Pradesh,Krishna,Alluvial,5.7,0.09,241,28,360,1.27
30-08-2021,Lakshadweep,Kavaratti,Loamy,6.3,0.52,269,17,232,0.96
30-04-2018,Uttar Pradesh,Lucknow,Sandy,7.2,1.31,124,18,80,0.63
13-08-2017,Mizoram,Aizawl,Loamy,6.4,0.52,267,29,182,0.96
13-05-2021,Uttarakhand,Dehradun,Loamy,6.9,0.74,198,33,366,1.12
30-03-2018,Telangana,Warangal,Red,6.6,0.63,124,27,178,1.01
04-04-2016,Jammu and Kashmir,Srinagar,Loamy,6.7,0.25,159,25,312,0.99
08-04-2024,Uttar Pradesh,Lucknow,Sandy,6,0.28,90,18,99,0.65
22-01-2015,Tamil Nadu,Madurai,Red,6.4,0.65,84,19,202,0.46
19-04-2021,Sikkim,Gangtok,Loamy,6,0.32,185,42,181,1.09
17-01-2017,Bihar,Patna,Alluvial,7.5,0.28,284,41,252,1.43
14-12-2022,Himachal Pradesh,Kangra,Sandy Loam,8.6,2.31,118,32,178,0.66
11-12-2024,Bihar,Muzaffarpur,Alluvial,5.6,0.69,143,21,287,1.04
19-04-2016,Gujarat,Rajkot,Sandy,6.6,0.25,119,16,87,0.75
18-12-2017,Tamil Nadu,Chennai,Red,6.1,0.47,187,28,124,0.65
02-01-2022,Arunachal Pradesh,Itanagar,Loamy,7.4,1.27,264,22,270,0.82
11-04-2025,Telangana,Hyderabad,Black,7.5,0.47,226,16,193,0.74
09-08-2020,Dadra and Nagar Haveli and Daman and Diu,Daman,Loamy,6.4,0.69,182,21,191,0.75
17-09-2024,Dadra and Nagar Haveli and Daman and Diu,Daman,Loamy,6.6,0.34,139,18,310,1.1
10-07-2022,Puducherry,Puducherry,Loamy,7.5,1.43,133,29,203,0.95
02-09-2017,Telangana,Hyderabad,Black,6.4,0.64,186,37,215,0.99
12-12-2019,Uttar Pradesh,Lucknow,Sandy,6.1,0.26,62,5,141,0.57
09-07-2015,Meghalaya,Shillong,Loamy,6.4,0.5,233,32,347,0.72
25-03-2023,Madhya Pradesh,Bhopal,Black,7.9,0.94,131,30,260,0.73
27-06-2022,Manipur,Imphal,Loamy,6.2,0.18,141,14,349,1.24
25-03-2023,Uttarakhand,Dehradun,Loamy,5.5,0.25,217,12,180,1.14
16-07-2016,Bihar,Patna,Alluvial,7.5,0.57,158,26,215,0.94
14-03-2020,Meghalaya,Shillong,Loamy,6.7,0.56,149,29,245,1
17-12-2024,Chandigarh,Chandigarh,Loamy,8.8,2.07,153,49,306,1.33
21-06-2018,Chandigarh,Chandigarh,Loamy,6,0.43,265,33,193,1.21
19-11-2022,Ladakh,Leh,Sandy Loam,6.7,0.88,78,14,143,0.58
09-03-2019,Assam,Kamrup,Laterite,6.3,0.75,85,21,197,0.61
08-10-2023,Sikkim,Gangtok,Loamy,5.2,0.91,163,9,330,0.94
26-09-2024,Sikkim,Gangtok,Loamy,7.5,1.43,216,31,264,1.07
26-08-2025,Kerala,Kozhikode,Red,5.4,0.19,90,7,121,0.91
08-10-2016,Rajasthan,Jodhpur,Desert,7.8,0.22,114,9,118,0.31
30-08-2020,Bihar,Patna,Alluvial,6.9,0.92,199,40,262,0.87
28-11-2022,Dadra and Nagar Haveli and Daman and Diu,Daman,Loamy,6.2,0.16,266,32,285,0.95
23-01-2021,Dadra and Nagar Haveli and Daman and Diu,Daman,Loamy,6.2,0.62,146,42,272,1.12
21-07-2018,Tamil Nadu,Coimbatore,Red,5.6,0.26,194,15,143,0.51
01-09-2021,Punjab,Patiala,Alluvial,6.8,0.26,231,23,356,1.33
23-08-2016,Manipur,Imphal,Loamy,6,0.44,131,39,312,1.24
21-06-2021,Tamil Nadu,Chennai,Red,5.6,0.23,141,10,204,0.71
23-08-2020,West Bengal,Darjeeling,Alluvial,6.5,0.42,278,46,368,1.27
30-08-2015,Meghalaya,Shillong,Loamy,6.2,0.64,234,45,277,0.86
03-08-2020,Rajasthan,Jaipur,Desert,8.3,1.04,61,11,96,0.33
