Date,State,District,Min_Temp,Max_Temp,Avg_Temp,Rainfall,Humidity,Wind_Speed,Solar_Radiation
2023-09-10,Jharkhand,Ranchi,20.9,28.6,24.8,20.3,55.2,19.1,21.5
2024-08-08,Kerala,Ernakulam,23.5,29.9,26.7,137.3,78.5,22.3,23.1
2017-05-10,Bihar,Gaya,20.8,39.3,30.0,52.3,66.9,7.7,29.9
2018-07-18,Dadra and Nagar Haveli and Daman and Diu,Daman,15.5,27.3,21.4,244.2,58.4,8.9,29.1
2018-02-04,Nagaland,Kohima,18.2,34.1,26.2,45.1,42.8,13.3,25.8
2017-12-31,Meghalaya,Shillong,13.2,26.1,19.6,37.2,64.9,8.9,25.8
2025-04-30,Ladakh,Leh,13.6,25.9,19.8,13.6,41.5,9.8,27.7
2023-06-20,Tripura,Agartala,16.1,34.5,25.3,166.2,62.1,22.1,34.2
2019-06-27,Tamil Nadu,Chennai,27.1,32.7,29.9,268.3,78.3,20.5,30.8
2020-12-09,Kerala,Thrissur,22.1,34.8,28.4,84.0,71.8,10.9,24.2
2016-04-11,Puducherry,Puducherry,13.6,24.0,18.8,74.0,54.7,12.9,33.5
2018-05-23,Ladakh,Leh,17.9,26.8,22.4,41.7,44.6,7.0,31.9
2015-11-27,Assam,Cachar,23.8,33.3,28.6,34.3,74.1,5.0,25.1
2019-01-22,Himachal Pradesh,Kangra,3.9,27.2,15.6,16.8,40.1,11.8,21.6
2020-11-05,Nagaland,Kohima,21.1,34.3,27.7,7.9,55.8,20.0,27.3
2024-06-06,Jammu and Kashmir,Srinagar,19.1,25.1,22.1,97.6,46.2,12.5,32.2
2023-09-07,Puducherry,Puducherry,12.5,26.7,19.6,95.4,73.2,8.1,22.2
2022-12-29,Maharashtra,Nagpur,25.3,31.2,28.2,63.6,59.6,17.8,26.3
2025-03-24,Bihar,Patna,22.1,39.4,30.8,73.9,66.1,12.8,26.1
2015-05-11,Andaman and Nicobar Islands,Port Blair,15.7,34.8,25.2,54.4,51.6,5.9,25.4
2019-08-13,Manipur,Imphal,13.1,22.0,17.6,136.2,48.6,17.5,22.1
2024-04-03,West Bengal,Darjeeling,13.4,27.6,20.5,112.2,68.7,11.2,30.8
2017-02-08,Meghalaya,Shillong,13.9,24.6,19.2,20.0,62.9,15.5,26.7
2021-07-19,Kerala,Kozhikode,22.8,33.4,28.1,228.0,64.5,13.2,26.0
2019-02-24,Chhattisgarh,Raipur,12.1,28.7,20.4,65.4,51.7,11.8,22.3
2024-07-17,Puducherry,Puducherry,15.4,20.7,18.0,287.1,56.6,19.8,21.4
2022-10-24,Andhra Pradesh,Krishna,28.1,39.0,33.6,56.5,77.1,7.5,24.8
2021-08-30,Lakshadweep,Kavaratti,19.3,30.7,25.0,261.1,48.6,10.6,22.5
2018-04-30,Uttar Pradesh,Lucknow,29.1,41.5,35.3,36.3,55.1,14.1,31.2
2017-08-13,Mizoram,Aizawl,12.6,29.5,21.0,146.7,60.7,8.5,27.6
2021-05-13,Uttarakhand,Dehradun,22.5,32.1,27.3,57.4,60.9,14.3,28.9
2018-03-30,Telangana,Warangal,27.5,36.0,31.8,54.2,64.9,15.5,27.9
2016-04-04,Jammu and Kashmir,Srinagar,10.3,27.3,18.8,42.3,78.3,16.3,26.7
2024-04-08,Uttar Pradesh,Lucknow,27.4,37.7,32.6,59.1,65.9,6.3,28.9
2015-01-22,Tamil Nadu,Madurai,24.1,36.6,30.4,75.6,62.9,14.8,25.8
2021-04-19,Sikkim,Gangtok,11.9,21.2,16.6,28.9,47.8,7.3,25.6
2017-01-17,Bihar,Patna,27.2,34.5,30.8,28.9,48.2,12.1,25.1
2022-12-14,Himachal Pradesh,Kangra,4.2,21.9,13.0,57.0,55.0,13.8,25.0
2024-12-11,Bihar,Muzaffarpur,12.3,33.9,23.1,62.1,66.0,9.9,29.3
2016-04-19,Gujarat,Rajkot,22.7,31.5,27.1,23.4,57.7,17.7,28.6
2017-12-18,Tamil Nadu,Chennai,21.9,33.9,27.9,92.9,56.4,17.0,24.8
2022-01-02,Arunachal Pradesh,Itanagar,22.0,31.0,26.5,31.4,67.9,18.5,23.2
2025-04-11,Telangana,Hyderabad,23.5,31.1,27.3,21.9,71.1,8.0,32.9
2020-08-09,Dadra and Nagar Haveli and Daman and Diu,Daman,16.4,34.9,25.6,75.3,43.7,9.1,28.4
2024-09-17,Dadra and Nagar Haveli and Daman and Diu,Daman,16.6,21.6,19.1,264.9,75.1,20.1,22.5
2022-07-10,Puducherry,Puducherry,15.6,31.3,23.4,157.0,46.2,11.6,29.7
2017-09-02,Telangana,Hyderabad,19.8,35.8,27.8,164.3,69.9,17.9,24.4
2019-12-12,Uttar Pradesh,Lucknow,14.6,36.5,25.6,22.8,69.4,15.2,25.8
2015-07-09,Meghalaya,Shillong,15.5,23.5,19.5,218.9,43.7,22.6,29.8
2023-03-25,Madhya Pradesh,Bhopal,12.9,20.4,16.6,27.7,68.5,11.0,23.6
2022-06-27,Manipur,Imphal,20.6,27.3,24.0,121.7,51.7,17.0,26.6
2023-03-25,Uttarakhand,Dehradun,18.2,33.3,25.8,41.0,67.3,6.1,24.5
2016-07-16,Bihar,Patna,10.1,30.0,20.0,113.1,51.5,9.2,23.1
2020-03-14,Meghalaya,Shillong,17.6,29.8,23.7,9.7,66.1,12.3,25.4
2024-12-17,Chandigarh,Chandigarh,22.5,30.1,26.3,17.2,62.1,19.2,25.2
2018-06-21,Chandigarh,Chandigarh,22.5,33.2,27.8,165.1,65.9,14.1,30.3
2022-11-19,Ladakh,Leh,17.6,31.4,24.5,33.7,44.0,16.8,26.8
2019-03-09,Assam,Kamrup,24.3,31.7,28.0,34.8,64.3,16.6,20.7
2023-10-08,Sikkim,Gangtok,23.6,30.4,27.0,67.9,70.9,18.1,22.1
2024-09-26,Sikkim,Gangtok,18.9,24.9,21.9,76.6,52.4,19.1,20.2
2025-08-26,Kerala,Kozhikode,24.7,30.1,27.4,288.2,62.4,19.5,21.4
2016-10-08,Rajasthan,Jodhpur,32.1,41.3,36.7,38.1,31.6,11.8,26.9
2020-08-30,Bihar,Patna,26.3,35.0,30.6,272.0,44.7,18.6,23.5
2022-11-28,Dadra and Nagar Haveli and Daman and Diu,Daman,11.5,23.7,17.6,66.6,79.2,10.9,28.9
2021-01-23,Dadra and Nagar Haveli and Daman and Diu,Daman,17.6,31.5,24.6,8.2,62.3,6.1,22.7
2018-07-21,Tamil Nadu,Coimbatore,24.5,36.4,30.4,241.9,82.8,20.2,21.6
2021-09-01,Punjab,Patiala,14.7,33.3,24.0,188.9,69.5,19.4,25.7
2016-08-23,Manipur,Imphal,21.3,28.7,25.0,99.4,66.2,21.1,29.7
2021-06-21,Tamil Nadu,Chennai,22.7,35.9,29.3,346.6,71.8,13.2,31.2
2020-08-23,West Bengal,Darjeeling,20.5,33.1,26.8,324.9,83.9,10.6,23.7
2015-08-30,Meghalaya,Shillong,18.8,27.0,22.9,293.9,50.5,15.0,28.8
2020-08-03,Rajasthan,Jaipur,12.0,40.0,26.0,95.7,21.3,21.5,20.4
2022-09-25,Manipur,Imphal,17.7,23.3,20.5,39.9,75.5,19.5,22.0
2024-05-10,Mizoram,Aizawl,19.3,32.8,26.0,67.3,58.7,18.5,30.1
2022-02-25,Madhya Pradesh,Bhopal,25.1,41.8,33.4,18.0,36.7,10.1,21.6
2023-01-24,Odisha,Bhubaneswar,19.3,36.0,27.6,53.0,63.1,10.5,21.9
2018-09-25,Chandigarh,Chandigarh,16.7,30.0,23.4,59.0,78.9,14.6,29.5
2020-11-09,Nagaland,Kohima,12.0,30.8,21.4,48.2,72.8,14.0,29.6
